# | Player | Nation | Position | OVR | PAC | SHO | PAS | DRI | DEF | PHY | League/Region | Status
1 | Luka Modrić | Croatia | CM | 75 | 74 | 72 | 96 | 94 | 72 | 62 | Spain | Icon/Active
23 | Zico | Brazil | CAM | 74 | 78 | 91 | 96 | 95 | 45 | 63 | Legacy | Icon
24 | Riquelme | Argentina | CAM | 72 | 53 | 77 | 96 | 94 | 38 | 60 | Legacy | Icon
25 | Juan Sebastián Verón | Argentina | CM | 70 | 64 | 75 | 92 | 82 | 67 | 73 | Legacy | Icon
26 | Javier Mascherano | Argentina | CDM | 69 | 70 | 45 | 81 | 69 | 94 | 82 | Legacy | Icon
27 | Fernando Redondo | Argentina | CDM | 72 | 72 | 62 | 94 | 91 | 84 | 70 | Legacy | Icon
28 | Juan Román Riquelme | Argentina | CAM | 73 | 52 | 78 | 97 | 95 | 40 | 59 | Legacy | Icon
29 | Diego Simeone | Argentina | CDM | 68 | 65 | 59 | 77 | 69 | 88 | 85 | Legacy | Icon
30 | Enzo Francescoli | Uruguay | CAM | 70 | 73 | 82 | 91 | 90 | 43 | 64 | Legacy | Icon
31 | Gheorghe Hagi | Romania | CAM | 72 | 79 | 89 | 91 | 94 | 44 | 61 | Legacy | Icon
32 | Pavel Nedvěd | Czech Republic | LM | 72 | 90 | 87 | 87 | 89 | 65 | 78 | Legacy | Icon
33 | Luís Figo | Portugal | RM | 72 | 88 | 80 | 92 | 94 | 47 | 68 | Legacy | Icon
34 | Deco | Portugal | CM | 71 | 67 | 73 | 94 | 92 | 52 | 57 | Legacy | Icon
35 | Rui Costa | Portugal | CAM | 71 | 71 | 75 | 95 | 94 | 43 | 57 | Legacy | Icon
36 | Michael Laudrup | Denmark | CAM | 73 | 82 | 78 | 96 | 96 | 41 | 61 | Legacy | Icon
37 | David Beckham | England | RM | 71 | 72 | 77 | 97 | 88 | 58 | 68 | Legacy | Icon
38 | Ryan Giggs | Wales | LM | 71 | 91 | 73 | 90 | 92 | 51 | 58 | Legacy | Icon
39 | Paul Gascoigne | England | CAM | 69 | 78 | 81 | 87 | 91 | 43 | 76 | Legacy | Icon
40 | Johan Neeskens | Netherlands | CM | 70 | 82 | 73 | 85 | 79 | 83 | 84 | Legacy | Icon
41 | Marco Tardelli | Italy | CM | 69 | 75 | 77 | 82 | 77 | 80 | 80 | Legacy | Icon
42 | Roberto Donadoni | Italy | RM | 68 | 86 | 67 | 89 | 88 | 53 | 63 | Legacy | Icon
43 | Demetrio Albertini | Italy | CM | 68 | 67 | 63 | 92 | 76 | 63 | 65 | Legacy | Icon
44 | Frank Rijkaard | Netherlands | CDM | 71 | 70 | 58 | 88 | 76 | 91 | 90 | Legacy | Icon
45 | Edgar Davids | Netherlands | CM | 69 | 84 | 57 | 78 | 81 | 90 | 85 | Legacy | Icon
46 | Gheorghe Popescu | Romania | CM | 67 | 63 | 56 | 79 | 69 | 86 | 80 | Legacy | Icon
47 | Didi | Brazil | CM | 69 | 68 | 75 | 93 | 88 | 45 | 64 | Legacy | Icon
48 | Falcão | Brazil | CM | 70 | 72 | 71 | 92 | 87 | 70 | 73 | Legacy | Icon
49 | Zé Roberto | Brazil | LM | 68 | 85 | 64 | 89 | 87 | 69 | 71 | Legacy | Veteran
50 | Juninho Pernambucano | Brazil | CAM | 69 | 67 | 91 | 94 | 81 | 43 | 62 | Legacy | Icon
51 | Kevin De Bruyne | Belgium | CAM | 75 | 76 | 89 | 96 | 90 | 58 | 78 | Saudi Pro League | Current
52 | Rodri | Spain | CDM | 75 | 68 | 77 | 95 | 83 | 94 | 87 | England | Current
53 | Jude Bellingham | England | CM | 75 | 88 | 85 | 88 | 93 | 79 | 88 | Spain | Current
54 | Pedri | Spain | CM | 73 | 78 | 66 | 94 | 95 | 65 | 55 | Spain | Current
55 | Federico Valverde | Uruguay | CM | 74 | 94 | 79 | 90 | 86 | 82 | 87 | Spain | Current
56 | Bernardo Silva | Portugal | CAM | 73 | 80 | 76 | 94 | 96 | 57 | 58 | England | Current
57 | Bruno Fernandes | Portugal | CAM | 73 | 76 | 87 | 94 | 89 | 58 | 67 | England | Current
58 | Martin Ødegaard | Norway | CAM | 73 | 74 | 72 | 94 | 94 | 57 | 58 | England | Current
59 | Declan Rice | England | CDM | 73 | 79 | 69 | 86 | 79 | 90 | 88 | England | Current
60 | Joshua Kimmich | Germany | CDM | 72 | 67 | 67 | 94 | 87 | 84 | 70 | Germany | Current
61 | Frenkie de Jong | Netherlands | CM | 72 | 84 | 58 | 94 | 94 | 70 | 65 | Spain | Current
62 | Ilkay Gündogan | Germany | CM | 71 | 67 | 78 | 92 | 88 | 71 | 64 | Spain | Veteran
63 | Marco Verratti | Italy | CM | 70 | 69 | 55 | 94 | 95 | 69 | 56 | Qatar | Veteran
64 | Thiago Alcântara | Spain | CM | 70 | 59 | 57 | 97 | 96 | 63 | 55 | Legacy | Icon
65 | Casemiro | Brazil | CDM | 69 | 53 | 65 | 79 | 70 | 91 | 91 | Brazil | Veteran
66 | Sergio Busquets | Spain | CDM | 69 | 49 | 52 | 95 | 76 | 89 | 78 | Legacy | Icon
67 | Luka Sučić | Croatia | CM | 67 | 78 | 70 | 82 | 82 | 53 | 61 | Spain | Current
68 | Mateo Kovačić | Croatia | CM | 69 | 77 | 61 | 90 | 92 | 67 | 65 | England | Current
69 | Marcelo Brozović | Croatia | CDM | 69 | 69 | 58 | 91 | 78 | 85 | 74 | Saudi Pro League | Veteran
70 | Ivan Rakitić | Croatia | CM | 68 | 59 | 68 | 91 | 82 | 66 | 63 | Legacy | Veteran
71 | Sergej Milinković-Savić | Serbia | CM | 72 | 73 | 82 | 83 | 79 | 78 | 91 | Saudi Pro League | Current
72 | Nicolo Barella | Italy | CM | 72 | 85 | 75 | 91 | 88 | 82 | 76 | Italy | Current
73 | Jorginho | Italy | CDM | 68 | 50 | 60 | 94 | 79 | 76 | 55 | Brazil | Veteran
74 | Sandro Tonali | Italy | CM | 70 | 73 | 64 | 88 | 78 | 83 | 76 | England | Current
75 | Lorenzo Pellegrini | Italy | CAM | 69 | 73 | 77 | 88 | 85 | 63 | 66 | Italy | Current
76 | Marco Asensio | Spain | CAM | 68 | 71 | 81 | 87 | 88 | 45 | 60 | Turkey | Veteran
77 | Isco | Spain | CAM | 70 | 63 | 74 | 91 | 95 | 45 | Spain | Veteran
78 | Dani Parejo | Spain | CM | 68 | 47 | 66 | 96 | 76 | 60 | 56 | Spain | Veteran
79 | Santi Cazorla | Spain | CM | 67 | 55 | 65 | 94 | 94 | 42 | 49 | Spain | Veteran
80 | Thiago Almada | Argentina | CAM | 69 | 88 | 75 | 88 | 94 | 45 | 55 | Brazil | Current
81 | Alexis Mac Allister | Argentina | CM | 72 | 70 | 78 | 91 | 87 | 77 | 67 | England | Current
82 | Enzo Fernández | Argentina | CM | 72 | 72 | 74 | 94 | 85 | 76 | 70 | England | Current
83 | Rodrigo De Paul | Argentina | CM | 69 | 77 | 70 | 87 | 82 | 76 | 79 | Spain | Veteran
84 | Leandro Paredes | Argentina | CDM | 67 | 51 | 61 | 91 | 75 | 70 | 62 | Argentina | Veteran
85 | Giovani Lo Celso | Argentina | CM | 67 | 70 | 68 | 87 | 87 | 55 | 56 | Spain | Current
86 | Exequiel Palacios | Argentina | CM | 68 | 72 | 59 | 87 | 82 | 74 | 61 | Germany | Current
87 | Guido Rodríguez | Argentina | CDM | 65 | 52 | 51 | 77 | 64 | 86 | 80 | Spain | Veteran
88 | Alexis Sánchez | Chile | CAM | 69 | 78 | 82 | 85 | 91 | 49 | 63 | Italy | Veteran
89 | Arturo Vidal | Chile | CM | 68 | 61 | 72 | 78 | 76 | 87 | 91 | Chile | Veteran
90 | Charles Aránguiz | Chile | CM | 65 | 55 | 57 | 87 | 75 | 78 | 61 | Chile | Veteran
91 | James Rodríguez | Colombia | CAM | 68 | 57 | 78 | 94 | 89 | 41 | 54 | Colombia | Veteran
92 | Juan Fernando Quintero | Colombia | CAM | 67 | 54 | 77 | 91 | 91 | 36 | 52 | Colombia | Veteran
93 | James Rodríguez | Colombia | CAM | 68 | 57 | 78 | 94 | 89 | 41 | 54 | Colombia | Veteran
94 | Jefferson Lerma | Colombia | CDM | 66 | 66 | 51 | 72 | 64 | 86 | 87 | England | Veteran
95 | Yangel Herrera | Venezuela | CM | 65 | 68 | 56 | 73 | 67 | 79 | 81 | Spain | Current
96 | Wilmar Barrios | Colombia | CDM | 65 | 69 | 47 | 75 | 67 | 88 | 78 | Russia | Veteran
97 | Richard Ríos | Colombia | CM | 68 | 88 | 68 | 79 | 83 | 72 | 80 | Portugal | Current
98 | Jhon Arias | Colombia | RM | 68 | 87 | 69 | 82 | 88 | 49 | 61 | Brazil | Current
99 | André Trindade | Brazil | CDM | 65 | 70 | 48 | 79 | 67 | 84 | 74 | Brazil | Current
100 | Gerson | Brazil | CM | 68 | 69 | 72 | 84 | 83 | 71 | 82 | Brazil | Current
101 | Lucas Paquetá | Brazil | CAM | 70 | 78 | 78 | 87 | 87 | 64 | 76 | England | Current
102 | Bruno Guimarães | Brazil | CM | 72 | 72 | 67 | 91 | 84 | 86 | 79 | England | Current
103 | Douglas Luiz | Brazil | CDM | 69 | 68 | 66 | 88 | 79 | 80 | 72 | Italy | Current
104 | João Gomes | Brazil | CDM | 67 | 77 | 50 | 76 | 68 | 86 | 81 | England | Current
105 | André Santos | Brazil | CM | 63 | 70 | 52 | 73 | 64 | 72 | 70 | Brazil | Current
106 | Everton Ribeiro | Brazil | CAM | 66 | 72 | 67 | 88 | 89 | 45 | 53 | Brazil | Veteran
107 | Gerson | Brazil | CM | 68 | 69 | 72 | 84 | 83 | 71 | 82 | Brazil | Current
108 | Giorgian de Arrascaeta | Uruguay | CAM | 71 | 76 | 79 | 93 | 94 | 43 | 56 | Brazil | Current
109 | Nicolás de la Cruz | Uruguay | CM | 69 | 82 | 70 | 89 | 89 | 65 | 59 | Brazil | Current
110 | Federico Viñas | Uruguay | CM | 61 | 67 | 56 | 64 | 61 | 63 | 72 | Brazil | Current
111 | Manuel Ugarte | Uruguay | CDM | 68 | 79 | 45 | 79 | 72 | 91 | 81 | England | Current
112 | Rodrigo Bentancur | Uruguay | CM | 69 | 69 | 62 | 86 | 81 | 82 | 77 | England | Current
113 | Lucas Torreira | Uruguay | CDM | 65 | 69 | 42 | 78 | 68 | 87 | 70 | Turkey | Veteran
114 | Federico Valverde | Uruguay | CM | 74 | 94 | 79 | 90 | 86 | 82 | 87 | Spain | Current
115 | Facundo Pellistri | Uruguay | RM | 64 | 91 | 58 | 68 | 82 | 41 | 54 | Greece | Current
116 | Manuel Lanzini | Argentina | CAM | 63 | 68 | 60 | 79 | 82 | 34 | 49 | Argentina | Veteran
117 | Ever Banega | Argentina | CM | 65 | 48 | 55 | 92 | 82 | 56 | 48 | Argentina | Veteran
118 | Javier Pastore | Argentina | CAM | 63 | 55 | 62 | 88 | 91 | 34 | 50 | Legacy | Veteran
119 | Éverton Ribeiro | Brazil | CAM | 66 | 72 | 67 | 88 | 89 | 45 | 53 | Brazil | Veteran
120 | Oscar | Brazil | CAM | 67 | 58 | 69 | 90 | 86 | 39 | 53 | Brazil | Veteran
121 | James Rodríguez | Colombia | CAM | 68 | 57 | 78 | 94 | 89 | 41 | 54 | Colombia | Veteran
122 | Christian Eriksen | Denmark | CM | 70 | 57 | 79 | 94 | 88 | 54 | 50 | England | Veteran
123 | Pierre-Emile Højbjerg | Denmark | CDM | 67 | 55 | 54 | 82 | 66 | 85 | 77 | England | Current
124 | Morten Hjulmand | Denmark | CDM | 69 | 73 | 53 | 81 | 72 | 87 | 82 | Portugal | Current
125 | Matt O'Riley | Denmark | CM | 67 | 67 | 72 | 84 | 81 | 59 | 65 | Italy | Current
126 | Jesper Lindstrøm | Denmark | CAM | 64 | 88 | 64 | 68 | 81 | 44 | 54 | Italy | Current
127 | Christian Nørgaard | Denmark | CDM | 64 | 51 | 46 | 75 | 64 | 84 | 79 | England | Veteran
128 | Isco | Spain | CAM | 70 | 63 | 74 | 91 | 95 | 45 | 60 | Spain | Veteran
129 | Dani Olmo | Spain | CAM | 71 | 79 | 80 | 90 | 91 | 45 | 58 | Spain | Current
130 | Fabián Ruiz | Spain | CM | 70 | 62 | 70 | 92 | 89 | 72 | 67 | France | Current
131 | Mikel Merino | Spain | CM | 69 | 63 | 63 | 81 | 75 | 83 | 87 | England | Current
132 | Martín Zubimendi | Spain | CDM | 71 | 64 | 51 | 91 | 78 | 88 | 75 | England | Current
133 | Gavi | Spain | CM | 70 | 81 | 56 | 87 | 89 | 81 | 69 | Spain | Current
134 | Fermín López | Spain | CM | 68 | 83 | 76 | 76 | 82 | 58 | 67 | Spain | Current
135 | Pablo Torre | Spain | CAM | 64 | 70 | 68 | 83 | 84 | 42 | 50 | Spain | Current
136 | Ismael Bennacer | Algeria | CM | 68 | 74 | 49 | 89 | 86 | 79 | 59 | Saudi Pro League | Veteran
137 | Houssem Aouar | Algeria | CM | 65 | 72 | 62 | 84 | 88 | 42 | Saudi Pro League | Current
138 | Riyad Mahrez | Algeria | RM | 71 | 74 | 81 | 91 | 95 | 44 | Saudi Pro League | Veteran
139 | Sofyan Amrabat | Morocco | CDM | 67 | 63 | 45 | 76 | 66 | 88 | 83 | Spain | Current
140 | Hakim Ziyech | Morocco | CAM | 67 | 72 | 79 | 90 | 91 | 42 | Morocco | Veteran
141 | Azzedine Ounahi | Morocco | CM | 65 | 82 | 56 | 82 | 87 | 47 | Greece | Current
142 | Bilal El Khannouss | Morocco | CAM | 68 | 78 | 61 | 85 | 89 | 44 | Germany | Current
143 | Amine Harit | Morocco | CAM | 65 | 77 | 65 | 82 | 86 | 41 | France | Current
144 | Youssef Aït Bennasser | Morocco | CM | 61 | 62 | 38 | 74 | 61 | 76 | 65 | Morocco | Current
145 | Franck Kessié | Ivory Coast | CM | 69 | 77 | 70 | 77 | 73 | 85 | 91 | Saudi Pro League | Current
146 | Ibrahim Sangaré | Ivory Coast | CDM | 66 | 65 | 48 | 72 | 61 | 88 | 88 | England | Current
147 | Seko Fofana | Ivory Coast | CM | 67 | 78 | 61 | 76 | 71 | 80 | 83 | Saudi Pro League | Veteran
148 | Wilfried Ndidi | Nigeria | CDM | 68 | 62 | 49 | 74 | 61 | 91 | 87 | Spain | Current
149 | Alex Iwobi | Nigeria | CM | 67 | 83 | 63 | 84 | 85 | 46 | 61 | England | Current
150 | Joe Aribo | Nigeria | CM | 64 | 69 | 57 | 71 | 74 | 60 | 78 | England | Current
151 | Thomas Partey | Ghana | CDM | 65 | 59 | 53 | 80 | 67 | 85 | 84 | Spain | Veteran
152 | Mohammed Kudus | Ghana | CAM | 72 | 93 | 81 | 83 | 92 | 57 | 77 | England | Current
153 | André Ayew | Ghana | CM | 64 | 61 | 70 | 71 | 68 | 62 | 76 | France | Veteran
154 | Thomas Partey | Ghana | CM | 65 | 59 | 53 | 80 | 67 | 85 | 84 | Spain | Veteran
155 | Amadou Onana | Belgium | CDM | 68 | 72 | 52 | 72 | 62 | 89 | 91 | England | Current
156 | Youri Tielemans | Belgium | CM | 69 | 63 | 74 | 91 | 81 | 65 | 68 | England | Current
157 | Leander Dendoncker | Belgium | CDM | 62 | 54 | 45 | 68 | 58 | 80 | 78 | Belgium | Veteran
158 | Charles De Ketelaere | Belgium | CAM | 69 | 72 | 76 | 85 | 87 | 42 | 75 | Italy | Current
159 | Hans Vanaken | Belgium | CAM | 66 | 57 | 74 | 86 | 78 | 43 | 67 | Belgium | Veteran
160 | Arthur Vermeeren | Belgium | CDM | 64 | 69 | 45 | 82 | 73 | 70 | 58 | Germany | Current
161 | Kevin Strootman | Netherlands | CM | 61 | 49 | 48 | 74 | 60 | 75 | 73 | Legacy | Veteran
162 | Donny van de Beek | Netherlands | CM | 63 | 70 | 69 | 75 | 75 | 50 | 57 | Spain | Current
163 | Georginio Wijnaldum | Netherlands | CM | 67 | 70 | 76 | 80 | 80 | 64 | 74 | Saudi Pro League | Veteran
164 | Teun Koopmeiners | Netherlands | CM | 69 | 64 | 76 | 87 | 79 | 73 | 74 | Italy | Current
165 | Ryan Gravenberch | Netherlands | CM | 70 | 83 | 62 | 87 | 88 | 59 | 74 | England | Current
166 | Tijjani Reijnders | Netherlands | CM | 71 | 87 | 77 | 90 | 89 | 51 | 63 | England | Current
167 | Xavi Simons | Netherlands | CAM | 72 | 87 | 78 | 90 | 93 | 49 | 57 | Germany | Current
168 | Davy Klaassen | Netherlands | CAM | 63 | 55 | 74 | 73 | 69 | 45 | 60 | Netherlands | Veteran
169 | Steven Berghuis | Netherlands | RM | 66 | 70 | 73 | 85 | 83 | 43 | 53 | Netherlands | Veteran
170 | Joey Veerman | Netherlands | CM | 66 | 55 | 60 | 92 | 78 | 42 | 56 | Netherlands | Current
171 | Dani de Wit | Netherlands | CAM | 62 | 62 | 72 | 68 | 64 | 42 | 61 | Netherlands | Current
172 | Lovro Majer | Croatia | CAM | 65 | 72 | 67 | 84 | 85 | 47 | 54 | Germany | Current
173 | Mario Pašalić | Croatia | CM | 68 | 64 | 80 | 77 | 73 | 55 | 79 | Italy | Current
174 | Marcelo Brozović | Croatia | CDM | 69 | 69 | 58 | 91 | 78 | 85 | 74 | Saudi Pro League | Veteran
175 | Mateo Kovačić | Croatia | CM | 69 | 77 | 61 | 90 | 92 | 67 | 65 | England | Current
176 | Ivan Perišić | Croatia | LM | 68 | 83 | 75 | 82 | 87 | 58 | 76 | Netherlands | Veteran
177 | Nikola Vlašić | Croatia | CAM | 65 | 70 | 65 | 78 | 82 | 45 | 67 | Italy | Current
178 | Lovro Majer | Croatia | CAM | 65 | 72 | 67 | 84 | 85 | 47 | 54 | Germany | Current
179 | Sergej Milinković-Savić | Serbia | CM | 72 | 73 | 82 | 83 | 79 | 78 | 91 | Saudi Pro League | Current
180 | Filip Kostić | Serbia | LM | 67 | 88 | 58 | 83 | 84 | 64 | 65 | Turkey | Veteran
181 | Nemanja Matić | Serbia | CDM | 64 | 48 | 46 | 78 | 63 | 87 | 83 | France | Veteran
182 | Dušan Tadić | Serbia | CAM | 68 | 61 | 78 | 90 | 91 | 39 | 54 | Serbia | Veteran
183 | Luka Jović | Serbia | CM | 61 | 58 | 52 | 64 | 59 | 43 | 70 | Serbia | Current
184 | Sasa Lukić | Serbia | CM | 65 | 73 | 48 | 81 | 74 | 69 | 63 | England | Current
185 | Hakan Çalhanoğlu | Turkey | CM | 73 | 65 | 87 | 95 | 88 | 76 | 68 | Italy | Current
186 | Orkun Kökçü | Turkey | CM | 70 | 72 | 75 | 90 | 87 | 53 | 62 | Portugal | Current
187 | İsmail Yüksek | Turkey | CDM | 63 | 71 | 43 | 68 | 58 | 81 | 75 | Turkey | Current
188 | Salih Özcan | Turkey | CM | 63 | 61 | 46 | 73 | 60 | 79 | 76 | Germany | Current
189 | Kerem Demirbay | Turkey | CM | 64 | 51 | 61 | 87 | 76 | 48 | 57 | Turkey | Veteran
190 | Yusuf Yazıcı | Turkey | CAM | 64 | 55 | 73 | 80 | 81 | 42 | 61 | Turkey | Veteran
191 | Arda Güler | Turkey | CAM | 72 | 84 | 79 | 92 | 95 | 42 | Spain | Current
192 | İrfan Can Kahveci | Turkey | RM | 66 | 70 | 76 | 81 | 80 | 42 | 62 | Turkey | Veteran
193 | Orkun Kökçü | Turkey | CM | 70 | 72 | 75 | 90 | 87 | 53 | 62 | Portugal | Current
194 | Hakan Çalhanoğlu | Turkey | CM | 73 | 65 | 87 | 95 | 88 | 76 | 68 | Italy | Current
195 | Isco | Spain | CAM | 70 | 63 | 74 | 91 | 95 | 45 | 60 | Spain | Veteran
196 | Dani Parejo | Spain | CM | 68 | 47 | 66 | 96 | 76 | 60 | 56 | Spain | Veteran
197 | Ismaël Bennacer | Algeria | CM | 68 | 74 | 49 | 89 | 86 | 79 | 59 | Saudi Pro League | Veteran
198 | Sofyan Amrabat | Morocco | CDM | 67 | 63 | 45 | 76 | 66 | 88 | 83 | Spain | Current
199 | Yacine Brahimi | Algeria | CAM | 64 | 69 | 63 | 81 | 89 | 36 | 48 | Qatar | Veteran
200 | Adel Taarabt | Morocco | CAM | 61 | 61 | 61 | 77 | 86 | 31 | 54 | Legacy | Veteran
201 | Salem Al-Dawsari | Saudi Arabia | LM | 70 | 89 | 76 | 80 | 89 | 47 | 56 | Saudi Pro League | Current
202 | Salem Al-Najdi | Saudi Arabia | LM | 61 | 76 | 49 | 57 | 65 | 51 | 59 | Saudi Pro League | Current
203 | Salman Al-Faraj | Saudi Arabia | CM | 64 | 57 | 53 | 81 | 74 | 61 | 58 | Saudi Arabia | Veteran
204 | Abdulrahman Ghareeb | Saudi Arabia | LW | 64 | 90 | 58 | 65 | 83 | 37 | 48 | Saudi Pro League | Current
205 | Salem Al-Dawsari | Saudi Arabia | LW | 70 | 89 | 76 | 80 | 89 | 47 | 56 | Saudi Pro League | Current
206 | Sardar Azmoun | Iran | CAM | 64 | 72 | 66 | 68 | 73 | 35 | 70 | UAE | Veteran
207 | Alireza Jahanbakhsh | Iran | RM | 64 | 76 | 68 | 71 | 78 | 41 | 55 | Netherlands | Veteran
208 | Mehdi Ghayedi | Iran | LW | 65 | 88 | 72 | 68 | 86 | 32 | 48 | UAE | Current
209 | Ashkan Dejagah | Iran | CAM | 61 | 60 | 62 | 72 | 75 | 39 | 53 | Legacy | Veteran
210 | Ali Karimi | Iran | CM | 62 | 64 | 48 | 73 | 64 | 69 | 62 | Iran | Current
211 | Keisuke Honda | Japan | CAM | 66 | 56 | 77 | 84 | 75 | 44 | 65 | Legacy | Icon
212 | Shinji Kagawa | Japan | CAM | 66 | 63 | 72 | 87 | 89 | 38 | 51 | Japan | Veteran
213 | Hidetoshi Nakata | Japan | CAM | 68 | 75 | 76 | 91 | 87 | 43 | 63 | Legacy | Icon
214 | Shunsuke Nakamura | Japan | CAM | 67 | 60 | 78 | 94 | 84 | 42 | 55 | Legacy | Icon
215 | Daichi Kamada | Japan | CM | 69 | 72 | 75 | 88 | 85 | 57 | 58 | England | Current
216 | Takefusa Kubo | Japan | RM | 70 | 89 | 72 | 88 | 94 | 43 | 51 | Spain | Current
217 | Ritsu Doan | Japan | RM | 68 | 84 | 73 | 77 | 87 | 45 | 59 | Germany | Current
218 | Takumi Minamino | Japan | CAM | 68 | 84 | 75 | 80 | 87 | 42 | 55 | France | Veteran
219 | Wataru Endo | Japan | CDM | 65 | 54 | 45 | 78 | 61 | 88 | 82 | England | Veteran
220 | Ao Tanaka | Japan | CM | 64 | 70 | 53 | 80 | 69 | 72 | 61 | England | Current
221 | Lee Kang-in | South Korea | CAM | 72 | 83 | 77 | 92 | 94 | 43 | 54 | France | Current
222 | Hwang In-beom | South Korea | CM | 68 | 78 | 60 | 88 | 82 | 67 | 61 | Netherlands | Current
223 | Lee Jae-sung | South Korea | CM | 67 | 76 | 66 | 81 | 78 | 65 | 70 | Germany | Veteran
224 | Son Heung-min | South Korea | LM | 70 | 90 | 88 | 83 | 90 | 42 | 64 | MLS | Veteran
225 | Ki Sung-yueng | South Korea | CM | 62 | 48 | 52 | 84 | 68 | 60 | 59 | South Korea | Veteran
226 | Koo Ja-cheol | South Korea | CM | 62 | 59 | 64 | 75 | 68 | 44 | 63 | South Korea | Veteran
227 | Park Ji-sung | South Korea | CM | 68 | 89 | 67 | 79 | 80 | 80 | 75 | Legacy | Icon
228 | Shinji Ono | Japan | CM | 65 | 64 | 68 | 88 | 86 | 45 | 54 | Legacy | Icon
229 | Yasuhito Endo | Japan | CM | 64 | 53 | 59 | 94 | 77 | 49 | 56 | Legacy | Icon
230 | Yuto Nagatomo | Japan | LM | 62 | 91 | 46 | 63 | 67 | 73 | 64 | Japan | Veteran
231 | Oscar | Brazil | CAM | 67 | 58 | 69 | 90 | 86 | 39 | 53 | Brazil | Veteran
232 | Hulk | Brazil | CAM | 66 | 76 | 78 | 71 | 80 | 41 | 84 | Brazil | Veteran
233 | Paulinho | Brazil | CM | 65 | 71 | 76 | 67 | 73 | 70 | 80 | Brazil | Veteran
234 | Ramires | Brazil | CM | 67 | 93 | 62 | 74 | 79 | 80 | 79 | Legacy | Icon
235 | Fernandinho | Brazil | CDM | 68 | 58 | 57 | 83 | 73 | 89 | 78 | Legacy | Icon
236 | Elano | Brazil | CAM | 63 | 58 | 67 | 82 | 76 | 40 | 55 | Legacy | Veteran
237 | Alex | Brazil | CAM | 65 | 58 | 82 | 88 | 87 | 37 | 61 | Legacy | Icon
238 | Juninho Pernambucano | Brazil | CAM | 69 | 67 | 91 | 94 | 81 | 43 | 62 | Legacy | Icon
239 | Diego Ribas | Brazil | CAM | 64 | 62 | 65 | 86 | 87 | 42 | 51 | Legacy | Veteran
240 | Lincoln | Brazil | CAM | 61 | 73 | 57 | 68 | 77 | 32 | 50 | Brazil | Current
241 | Federico Insúa | Argentina | CAM | 61 | 54 | 57 | 82 | 82 | 35 | 47 | Legacy | Veteran
242 | Pablo Aimar | Argentina | CAM | 67 | 75 | 70 | 93 | 94 | 34 | 51 | Legacy | Icon
243 | Ariel Ortega | Argentina | CAM | 65 | 81 | 69 | 87 | 93 | 30 | 48 | Legacy | Icon
